ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO21N000001,행사,행사,신창동 어울림축제,광주광역시,광산구,2920011800,신창동,2920011800,신창동,292003163033,광주광역시 광산구 왕버들로 291(신창동),62251,다라399891,35.195581596664,126.840712460514,신창동 공방의 거리,20171028,20171028,"주민운동회, 주민회의, 노래자랑, 나눔장터, 프리마켓 등",신창동 마을축제 추진위원회,광주광역시 광산구 신창동,,,,,20220228,3630000,광주광역시 광산구,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000002,행사,행사,제2회 하남동 도농공 한울타리 어울림축제,광주광역시,광산구,2920012500,하남동,2920012500,하남동,292004289687,광주광역시 광산구 하남대로54번안길 133(하남동),62336,다라362872,35.1782812384698,126.800084180691,경암근린공원,20171028,20171028,"기념식, 문화공연, 주민노래자랑, 플리마켓 등",하남동 한울타리 어울림축제 추진위원회,광주광역시 광산구 하남동,,,,,20220228,3630000,광주광역시 광산구,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000003,행사,행사,울릉해변가요제,경상북도,울릉군,4794025024,울릉읍,4794025024,울릉읍,479404778013,경상북도 울릉군 울릉읍 도동2길 66,40222,사사011482,37.4843331744993,130.905642182244,저동항,20200801,20200831,"군민가요제, 불꽃놀이",(사)울릉청년단,울릉군,,0547914116,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1991&,주민과 관광객들의 만남의 장으로 한여름밤의 낭만을 즐길 수 있는 행사,20220228,5260000,경상북도 울릉군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000004,행사,행사,우산문화제,경상북도,울릉군,4794025024,울릉읍,4794025024,울릉읍,479404778037,경상북도 울릉군 울릉읍 약수터길 48,40225,사사008481,37.4834694841186,130.902071220226,도동항,20200901,20201031,"개막축하행사전통민속놀이, 체험행사 등",울릉문화원,울릉군,,0547910245,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1988&,울릉도 개척 정신을 기리고 울릉이 문화의 고장임을 널리 소개,20220228,5260000,경상북도 울릉군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000005,행사,행사,오징어축제,경상북도,울릉군,4794025025,울릉읍 저동리,4794025000,울릉읍,,,,사사014495,37.4961943108558,130.909847306867,저동항,20200612,20200614,"오징어 맨손잡기, 요리경연, 뗏목경주등",울릉군 축제위원회,울릉군,"경상북도, 관내 기관 및 사회단체",0547906392,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1986&,"울릉도의 비경을 배경으로 푸른 동해 바다에서 오징어를 잡아보고,오징어 건조과정을 체험하면서 각종 오징어요리를 즐길 수 있는 행사",20220228,5260000,경상북도 울릉군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000006,행사,행사,회당문화재,경상북도,울릉군,4794025024,울릉읍 도동리,4794025024,울릉읍,479404778037,경상북도 울릉군 울릉읍 약수터길 48,40225,사사008481,37.4834694841186,130.902071220226,도동항,20200701,20200702,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 진행(메인)",대한불교진각종,대한불교진각종,울릉군,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1992&,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 등 다양한 문화행사로 진행",20220228,5260000,경상북도 울릉군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000007,행사,행사,민속그네뛰기,경상북도,울릉군,4794025026,울릉읍 사동리,4794025026,울릉읍,479404778001,경상북도 울릉군 울릉읍 간령길 83-18,40232,바사983454,37.460240437202,130.873549446035,사동 자생식물원,20200625,20200625,그네뛰기,울릉문화원,울릉문화원,울릉군,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1989&,전통문화 계승발전과 건전한 사회 기풍을 조성함과 향토문화 창달에 기여,20220228,5260000,경상북도 울릉군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000008,행사,행사,2016 광복기념음악회,경기도,안양시 만안구,4117110100,안양동,4117110100,안양동,411713182007,경기도 안양시 만안구 병목안로 215,14023,다사475319,37.3852894227621,126.907676269341,병목안시민공원,20160815,20160815,"안양필하모닉 오케스트라연주, 트럼펫연주곡, 안양시립합창단 공연등",(재)안양문화예술재단,(재)안양문화예술재단,,0316870500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",20220228,3830000,경기도 안양시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000009,행사,행사,2014 안양 아줌마축제,경기도,안양시 동안구,4117310300,평촌동,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149,14067,다사523324,37.3901366389543,126.961328707289,평촌중앙공원,20140830,20140831,"아줌마 축제 개막식 및 폐막식, 주민자치센터 동호회 공연  등",경인일보,(재)안양문화예술재단,경기도 안양시,0316870500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",20220228,3830000,경기도 안양시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000010,행사,행사,2015 안양 시민축제,경기도,안양시 동안구,4117310300,평촌동,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149,14067,다사523324,37.3901366389543,126.961328707289,"평촌중앙공원, 삼덕공원",20151002,20151004,"시민공연마당, 전시체험부스, 특별기회전시, 개폐막 축하공연, 방송국 공개방송 등",(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,0316870500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",20220228,3830000,경기도 안양시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
